CPT Code,Payout Asset
CPT12847,15
CPT58923,42
CPT34015,8
CPT67402,67
CPT29381,23
CPT91547,91
CPT50062,5
CPT56374,56
CPT38729,38
CPT72918,72
CPT11403,11
CPT49675,49
CPT84256,84
CPT22534,22
CPT65789,65
CPT30214,30
CPT78102,78
CPT14856,14
CPT53421,53
CPT89967,89
CPT27601,27
CPT73498,73
CPT19327,19
CPT61134,61
CPT44703,44
CPT98521,98
CPT09876,9
CPT76345,76
CPT35892,35
CPT51203,51
CPT86754,86
CPT12647,12
CPT68301,68
CPT25436,25
CPT92145,92
CPT40582,40
CPT63847,63
CPT17189,17
CPT79658,79
CPT31754,31
CPT54267,54
CPT87923,87
CPT06412,6
CPT45203,45
CPT70689,70
CPT20847,20
CPT58534,58
CPT94301,94
CPT33956,33
CPT75104,75
