EMR Code,Payout Asset
CPT06412,6.0
CPT09876,9.0
CPT11403,11.0
CPT12647,12.0
CPT12847,15.0
CPT14856,14.0
CPT17189,17.0
CPT19327,19.0
CPT20847,20.0
CPT22534,22.0
CPT25436,25.0
CPT27601,27.0
CPT29381,23.0
CPT30214,30.0
CPT31754,31.0
CPT33956,33.0
CPT34015,8.0
CPT35892,35.0
CPT38729,38.0
CPT40582,40.0
CPT44703,44.0
CPT45203,45.0
CPT49675,49.0
CPT50062,5.0
CPT51203,51.0
CPT53421,53.0
CPT54267,54.0
CPT56374,56.0
CPT58534,58.0
CPT58923,42.0
CPT61134,61.0
CPT63847,63.0
CPT65789,65.0
CPT67402,67.0
CPT68301,68.0
CPT70689,70.0
CPT72918,72.0
CPT73498,73.0
CPT75104,75.0
CPT76345,76.0
CPT78102,78.0
CPT79658,79.0
CPT84256,84.0
CPT86754,86.0
CPT87923,87.0
CPT89967,89.0
CPT91547,91.0
CPT92145,92.0
CPT94301,94.0
CPT98521,98.0
EMR999,500.0
